Comment,Sentiment
,neutral
hurt people learning disability,negative
yesno actually someways help writing argumented gpt someone dyslexia easier time,positive
kdmoo take away job people learning disability,neutral
semi skilled construction worker looking like great gig atm real responsibilitygood payextreme fitness perfect,positive
report showed many people exposed ai job risk replaced presented latter nobody noticed,negative
patrick sir one best content creator ever keep good work watching age heap value thank,positive
love see ai deal karen theyre probably start drinking drug,positive
ai replaced every job economy would collapse little money coming,negative
phuck building robot,neutral
best teacher th student pakistan,positive
hahaha damn finally pay hispanic,positive
first said customer service going growing skill sale people saying business development manager rise guy sound like think loudest person room smartest make sense please address inconsistency,positive
someone work ai heavily say replace easily half job within year especially robot improve rapidlyits white collar lot blue anyone think agi highlyintelligent machine cant hr attorney etc insanely wrong human still work different would likely need serve various way like elon musk right say universal incomeand capitalist hate fix make law ensure keep working even faster smarter hope people read trust random guy internet truei dont true field doesnt mean thing,positive
remember warned,negative
wont support ai,negative
wont buy,neutral
job playing phone yes replaced app apps real ai heart bleeds lol everyone want get rich quick lazy destroy way robot word speak louder action attitude,positive
south park already told u going top food chain maintenance people,positive
psh,neutral
economic crisis everything got crazy expensive unaffordable wont even get job one valued much demand market someone explain going,negative
sale people please elaborate deeply dont think,positive
fun fact going funded money consumer purchase good,positive
force people harder job easier one let look term home economics say wife brings fast food restaurant steal cooking job lazy thats really happens bchs get together protest cook want try everyone else thing like union trying white use share black slave instead working back civil war day problem take crap le patrick bet david nothing run mouth theyre oh dont understand business,negative
tracking tracing government take job away,neutral
dont worry ai cant replace scam artist professional grifter david,positive
rodney dangerfield take job please,positive
affected wrong look like list actually quite good knowledge ai except ceo course,positive
actually run many stupid people cant paid,negative
thing didnt see rise technical mechanical trade job needed maintain ai robotics infrastructure using,neutral
heard someone say day gone childrens future dont hear anymore,neutral
becoming teacher great job best pay used motivated giving fullfillment meaning get disrespected insulted physically abused thretned etc pupil student joy battle illmannered parent support kid bad behavement blame evreyone else newly grafuated fresh degree big heart jobjust met school official principle bash enough work experience yet common problem someone supposted proper workeducation land field grow profession compute logic,positive
secret world except ai satellite fuel different language today many market soon due google internet ended earnings profit unemployment increased apps happened revelation hidden believe smart phone resulted degradation human used lie everything fine neither make mistake truth always result loss first source income business lie mean earning otherwise crash,negative
part story human programed ai remove replace wanted,neutral
lazy,negative
warning ai killing job later turn u skynet become self aware warned enough never listen late,negative
mass homelessness multifamily living together,neutral
imagine youre graduate expensive college find major completely going away zero chance getting job,positive
sir recently article claiming soon big ai company machine software training data model mean still chance job field survive plaining alternate source rather internet anyone answer question,positive
work construction im safe nobody want even robot,positive
day argue ai hamberder order beginning pbj sammich diet,negative
dog grooming ai take,neutral
fast food major problem americathey destroyed health many peopleand price way much slop nasty service receive disgustingmost employee spit fooddont put garbage bodywe american citizen bud light businessi bet ai labor force better human hold grudge others work,negative
wife elementary school teacher reason teacher safe automation difficult keep many student task deal behavioral issue classroom sometimes babysitting like dont see robot computer able tell child stay seat unless terminator joke btw,positive
really human dont want child control teach robot,negative
hype robot artificial intelligence waste time machine think outwit human brain machine faster human output input buy operating system garbage thanks nothing,positive
tigerscottcorrect people underestimate smart human even hypothetically ai became u wouldnt replace hiring cheaper need le maintenance,positive
eegrhjvdoes computer cost grand something,positive
ai trully take dont need child go school care anymore shut boarder completely let everyone die true dictatorship start system meed people human right activist orgniazation fighting baby luxery thing elite population shrink percent everwhere specially chinna many,negative
tigerscottyeah live fool paradise,positive
jasonubqz im sure would say face behind screen insult anyone get azz kicked,negative
tell school university exist future mean doubt building class room would needed coronavirus pandemic proven student easily study material sitting home yes ai also check testsexams give grade,positive
person qualified babysitter required watch child robot engaging teacher,positive
maybe wont kid like anymore,negative
home schooling sweetheart,positive
reason safe people wont accepting voluntarily robot teacher school even better honest see society develop accepted nation point screen camera mainly already limited disciplination anyway far apart,positive
tigerscott many people today brain born,neutral
nah let robot emit shock get lay attention lol,negative
ai replaced,neutral
,neutral
notting really replace human meant world working people ai able much theme,neutral
happens one work money buy shit back square guess lost skilled worker,negative
taking job retired winedrinking golfer good luck,positive
million almost entire u scary,negative
huge chunk job going disappear thanks ai billion people planet rd world country educated looking,positive
ai feed internet stupid year humanity put entire learning net much almost alien brain decipher knowledge human system revered sacred sold capitalist unknown intelligence present generation seems dependent machine native technique memory intuition imagination seem fading wonder ancient civilisation kept wisdom wrap,positive
job sucker welfare gangstaz kamala harris,negative
google ai replace job get know entire video based random article lazy attempt making content interesting topic,positive
definitely soon slave poppet highest ego mankind sin devilist mind work terminator evolution coming even super advanced alien warned u awakened yet,positive
running speculation know guy allot ai wont taking million job since playing word doom tell doooooom,negative
predicted second year college quit accounting saw chatgpt instantly knew ai would easily able run number faster human accountant im emt working towards paramedic math first go called ago man freaking,neutral
anyone please let know point job loss end president company told theyre longer needed overlooking easy ai spitting wind,positive
tractor machine came werent big need horse rider okay due productivity people load unload accounting drove tractor went repair replaces horse driver loader accountant shopkeeper soon repairman thats think worker go town find new job notice making burger receptionist hotel artificial bank teller screen taxi drive different beast outsourcing thing make u valueable modern society intelligence,positive
always progress advancement replaced human ai whole new ball game capacity short order replace every sit desk job world single one problem get trade nope majority workforce working able buy need tradesman build repair tradie gone time face fact stop sugar coating cause economy collapse stuffed,negative
,neutral
watching video say people seem mistake ai fullon walking android going replace guy manual labor flipping burger managing basically semirich middle class yuppie job working retail food service far away full talking robot job like would called time coming one dont agree warehouse worker youve seen operated trying pull order realize real quick doesnt work nowhere near efficient human being,negative
janitor like cleaning,positive
ubi universal basic income comming word clause wef happy nothing,positive
black dont work,neutral
nurse,neutral
would sale people automated though robot handle,neutral
universal basic income come,neutral
ai taking computer job office,neutral
absolutely inspiring thanks pat,positive
first time watch nice one,positive
load garbage,neutral
ai robot dont pay tax,positive
replace job wasnt real,neutral
verty title video chatgpt,neutral
barber tattoo artist dentist list go many thing ai replace,neutral
call bullshit ai need take job two different thing kind super advanced come long time,positive
value,positive
teacher wont replaced day would incorporate technology including ai work,neutral
really like way thinking philosophy towards pessimistic toxic close minded,positive
wonder pumped humanity vaccine fluoride water toothpaste food block talent looking like creativity using imagination,positive
violin teacher looking ling,neutral
good talk,positive
whatever happens people looking talk,neutral
human made machine jobless wrong point,negative
market people need never go away need house food leisure housing real estate agent rent sell specific like plumber electrician flooring im active right,positive
thing considered talking topic know want video positive inspirering motivating miss many important regarding first home office mentioned pretty often medium big company like google meta use excuse fire people course thats real reason tell company work right time changed office way smaller one save million annually say would actually increase cost fold point ai robotics disruptive technology job replaced new created replace example accountant manager also without expertice solve problem complete going much detail outcome dont talk create form income economy wouls survive reduction wealth spread fewer let poeple year mean become something third rate human lesser get split sociaty usually lead war civil find solution,positive
cant guy,neutral
really dont understand skin color nowadays healthy human work job,positive
million job gone bloomberg,neutral
finally job people understand live like animal,positive
pbd wrong touch current working environment thing matter today diverse ai straight white male would value nobody care skill quality work anymore skin color,positive
tell home improvement danger,negative
softwre developer network administrator,neutral
hope,positive
psychologist arent safe ai better therapist,negative
everybody concentrate becoming entertainer stripper never get disrupted,positive
think analysis exaggeration study actually show look closely stats percentage could impacted mean partial full automation framed isnt true,negative
cant find source site talking,neutral
cab truck driver cashier,neutral
know save money mass people dont job buy product new crisis seems nothing employ airobots better cheaper,negative
product made robot wheres consumer buy product,neutral
technology pass humanity disconnected society one another,neutral
ai take yes crash everything physical presence build repair power maintained human would lose plant quick even became self aware scheme plan wait technology able built maintain otherwise digital realm still joke lost without people whats point internet go server,negative
there way make money people need work,neutral
ai free zone yo,positive
ai may disadvantage one advantage another ladder,negative
depends living,neutral
fucking love video patrick amazing,positive
teacher effected check ai academic,neutral
wish included link report mentioning,positive
yesi delivery robotics,neutral
already late georgia guide stone million human keep accepting vaccine,positive
hate calling company go auto system put damn,negative
already look car manifactures computer,neutral
transportation gon na get hit hard first self driving car,negative
ai going pay tax make loan buying coffee pizza give break nonsense take majority job tool help humanity replace u,negative
dont think anything last game chess human doesnt matter hard try alfa go improved one could possibly understand play ultimately job safe,positive
love content,positive
job mostly safe everything beside harness energy storage im talking high megawatt terawatts seen writing wall year ago need figure something else thinking term moore law,positive
people dont want work american lazy,negative
hey wont take job work one hour ai battery last long future technology better dont worry taking job power hour,positive
muh ai creates higher paying job nonsense nobody safe,positive
kid wise man told machine take theyll still need someone program,positive
wouldnt ai make u richer,positive
guy know point human evolution technology make life easier work,positive
constant learning improvement soft skill agile nimble anticipate,positive
im excited book come life ai,positive
priced megacorporations source income grocery healthcare anything else want total control dont think get political radicalism terrible strategy going odds,negative
end next u presidency matter win world completely different whitecollar job vanishing worldwide insane rate leader even prepared coming soon everyone planet,positive
one gone replace u eat dm ai,neutral
ill believe ai truly taken work force remove nasty paper jam printer without human assistance,negative
mechanical engineering admission boost futurewho take care little baby machine bitten man save robot ask handjob,positive
worried writing career dont know switch,negative
remember robotics manufacturing real,neutral
job ai already replaced music writing sound production still need work voice happen next month year computer art website design basic programing tela marketing translation service,neutral
want see ai reduced let become ceo coo cfo cio board member promise wouldnt issue,positive
skill set left computer scientist famous last word capitalist society longer keep reality,neutral
georgia mind nerve robot drive truck moving trailer loved cause accident,positive
ai destory entry level job recent college graduate people end getting screwed,negative
cant content single pause anything soak,neutral
hey pbdthank useful detailed info immigrant living uk early twentiesi wanted entrepreneur currently working driver per weekas far concerned good problem solvinghandling pressure others finance business administration wonder drop advicewhat career path pursue start gain experience required knowledge thank,positive
job safe im fry guy mcdonalds,positive
flippy enters chat,neutral
terminator predicted,neutral
dont use chatgpt,neutral
nonsense setting aside fact ai isnt even real way report put together asinine assume element job automated entire thats fucking stupid automate retail im sure employee free store wont problem theft away accountant youd literally need rewrite law betdavids assertion teacher cause screen perfect example idiotic prediction there value person involved tried online learning thing pandemic led kid multiple year behind education true galaxy brain thinking completely divorced reality business job work would willing bet perhaps small percentage eliminated tho primarily thru increased efficiency simply change function role automation worker focus task assuming always happens also snowball chance hell actually full customer service rep handle basic soon advanced like dealing billing technical issue youll sent human,positive
people already lonely last thing need talk lifeless system product,negative
believe lot u already talking nonfeeling human lifeless system wanting product sense cause effect resulting lifechanging injury,negative
major issue facing human specie satirecommentary explores exactly humorous ominous,positive
ai suicide dont know,negative
nobody even asked ai pushed u people need value life includes work,positive
dont job,neutral
bet associate degree absolute even alot bachelor job comprised,neutral
based data year job replaced ai would much prefer see collected random ppl creating video like without real proof guess work probably usa blog website news outlet obviously cant trusted proven fact,positive
plumber drywall electrical figure,neutral
artist artist writer especially therapist safe good sir physical work thats every mobile add commercial ive seen level ai within,positive
artitst brazil lot open capital busisness entertrainment replacing art job possible ai wife also artist faced negociation businesse ask accept job le use think problem classic liberal tech entusiats tehy sill dont realized replace amount everyone saying faster human wont time learning someting new father work day hour family kid suddenly lost outside replaced person something career fast way upper class people reality,negative
open source sora ai look real dude much weed smokin xd,positive
letting happen openly threatening u job loss sue company morality,negative
million job replace ai,neutral
ai software hardware improving faster human right stop,positive
sooo paying income tax government getting money,neutral
ai would never make video without input produced human call nothing advanced search engine data real creativity,positive
cognitive decline already started easier young people get info one million website available via internet rather exercise critical thinking research hard way ie book periodical pounding pavement see mapped proportionately successive generation tool ai previous eventual progression trend would independent thought required try asking college student simplest elementary school question taught child answer map qa correct,positive
ai make decision job decision maker youre better teacher replaced,positive
long term maybe year may evolve beyond capitalism actually monetary system economy abundance war obsolete money become well start hr workweek spread work around stop workweek keep boredom bay people could lot free time try improve community kind like star trek,positive
well im willing change career anyway,positive
ai job irs,neutral
ill happen clerk retail robot dont want live world migrant get job treated like nd class citzien much potential hostility enough oppotunitities city,negative
power bitcoin ai replace many corporation,neutral
hr manager affected robot replace use sorry karen youre going find another job,negative
ai bidens new job count dont mean thing,neutral
mean ton job going get done correctly without laziness cigarette break complaint sick day bunch stuff sound great,negative
good thing started ecommerce business rise ai meant extra pocket change allowance guess itll main job soon,positive
job whole world every country government already planned dark force dont worry trust god end save spirit important body right better take farm learn survive without help anyone anything future,positive
feel like teacher judge ai bot job would hopelessly vain judge probly make ssssssooooooo many mistake xd,negative
took job,neutral
think time give everyone universal income free every month thats solution survive,positive
called vaccine thats better solution run show,positive
survive larry get back work,neutral
ai going intelligent u soon probably take general,positive
thing ai take software developer job mean company worked replaced law lawfirm ask would redundant comple collapse write operating system goodbye window,negative
hope agi evolves really fast asi fks outer range universe cause planet nothing interesting oh doesnt destroy u trying fk,positive
go ai american complain pay racism robot,negative
people got lazy expected flip burger,negative
wont happen,neutral
find hilarious software engineer financial analyst risk losing job ai faster carpenter bricklayer,negative
many job get automated economy see u civil war starting,negative
rite still need people keep working trust alown screen friend tack love ther eachotherhacker best job fucher,positive
finally,neutral
fastest growing job humanoid robot technician,positive
gen remember song year seeing happening right,neutral
future coming guy ai,neutral
lawyer heavily impacted according wef,neutral
,neutral
literally good thing becomes bad rich benefit technological advancement working class,positive
soon enough company ceo robot,neutral
said say hvac ai wont replace job till soul uploaded universe mere mortal earth soulless internet worry,negative
dont worry ai take job universal basic income,positive
remember life job manmade corporate job yeah let robot people free capitalism crap give universal basic income live,positive
robot take job allow change mind set people behind,positive
imagine going school ai engineer cpu take job,neutral
good human unnecessary bathhouse sx club replaced ai fitness center well opinion,positive
going back mother land sweet africa hopefully doesnt get bad,positive
everythings becoming fake,negative
there way slow impact ai,neutral
dont care devil demon reeking havoc like bible teach u jesus lord cant wait come make sense,negative
dont worry cant endure auffering anynore maid ready help,positive
population decline going record pace ai get,neutral
ai going replace job started everything technically possible hypothetically people start agriculture work think best human least reduce lot pollution live family like ancestor used life,positive
asking fellow veteran advice transition software job paid agency im learning every ai available current day integration specialist getting dual citizenship mexico mom birth country yet still finding job keeping liam ottley year python automation specialty would switch course outcome,neutral
ai engineer female midlife taught kindergarten prior navy sucked lol advice increase net profit im education inhouse leveling top executive keep month contract killing keep billing lot product tax help would great side note house provided two wing active army veteran one wing service dog need med preparing whatever dawgs dog military k real estate thats falling apart,positive
idea sorry dont whats happening people say ai wont replace developer using wrong going shit ton damage nobody talking,negative
theultimategeminihassurvived contrary circle im talk literally every hour even weekend preparing,neutral
scam,negative
went lab get bloodwork done human phlebotomist checked screen,neutral
whats point paying bill robot job,neutral
ai also enable average person run something like excavation business completely automated employee tesla taxi service generates income passively better actually,positive
replace job human least free time focus interesting stuff life instead working day thing become easier available like home food electricity etc,positive
would site see dont waste money,positive
create software humanity people must mind little money,positive
people need se understand one thing human top food chain nothing better u rule planet ai well fact fire take job let tell ur fool cut throat money shop business across board go broke lose everything robot hard get greedy think putting curb way poor rich make cause rob smart stupid anyone keep going reason mankind longer alive see really happen,negative
learn code huh good luck real world,positive
pretty sure gon na start rolling kind universal basic income compensate change coming,positive
robot replace repetitive job people wont work le buck hour corp owner buy bot thousand proven dependable game labor law tax issue profit dollar botton line oh yeah huge write insurance patrick worried amerkan worker,positive
company laid employee department making money either intention rehire hire everyone belief faster ai digit touchup artist know normally project month past he company hiring le anyone supposed become master craft cant even presented opportunity work professionalsenioretc,negative
dont start cry nobody wanted work thought gon na next online social medium super hero corporation body fill position politics forcing hire based skin color instead experience motivated spend even money figure way fire everyone something cant complain sue demand called ha wee idk ever else result personally build kiosk get job done problem,positive
reason teacher safe human interact valued many people agree could replaced convincing american family trust ai teach kid going long battle mention teacher union school board would fight hard keep alive remember education isnt strictly profit motivated like job think whats likely kind assistant classroom,positive
would send child school access ai educator offer one tutelage appropriate pace accessible school exist pool resource reduce burden education parent sufficiently capable even better embodied agi home render old dynamic obsolete,positive
johntowers guess youre probably right see average person huge emotional reaction child adult directly involved mention interaction kid,positive
want slave job slaved work rest ai robot,positive
like robot picture reminds one love death robot,positive
dya know ai wont power people overlooked fact half population unemployed company agenda mass refuse accept service voluntarily fund system destroy life eventually idiot go bankrupt turmoil thing restored humanity work collectively,negative
job taken border jumper ai wont take construction mexican conservative trump support hire illegals mind blowing,positive
dude drink le coffee,neutral
ive accused little robotic think knew something im safe,positive
ai eliminating job first step towards dystopia skynet,neutral
talk robotics war asap,negative
sci fi real cry,negative
let activate chitti,neutral
ban ai,negative
truly scary people starve due lack fund revolution surely start,negative
yeah mine,positive
im master philosopher safe,positive
im gon na need see number let robot work teeth operate,positive
think list completely wrong bureaucrat going replaced deal inefficient biased human,negative
hell talking sound like fast car salesman,negative
ubsub,neutral
yes,positive
hmm fascinating etniciteit unemployment least affected knew,positive
much robot software technology allow employer shrink workforce company convert every job near zero employee make profit theyre considered god,positive
ai straight student,positive
relieved chauffeur wont replaced yet year vehicle start driving,positive
good robot mine,positive
huge fanpatrick great,positive
fear ai becomes smart replaces u ask teach turn table whats next step humanity probably communism like real authoritarian regime claiming,positive
theyve started thats true need figure new economic model,positive
best time see new job,positive
think cause revolution amongst people dont job eat get hungry thirsty cant pay bill human beg stop ai force manager hire human being machine,negative
said itd happen year ago,neutral
who,neutral
im teacher way itll replaced,neutral
great vid,positive
future bleak men woman woman existence value average man isnt wanted coming year replaced automation,positive
proof globalists plan depopulation,neutral
good thing biden created million job,positive
yes creative analytics green mathematics,positive
anyone else realize number dont add ai going hurt struggling people high school education le someone higher education work customer service job fast food grocery store take away create mass poverty homelessness,negative
believe impass know something got ta happen better worse,negative
let robot fast food job theyll better anywase people gmfood tripping,positive
corporate ceo way pay ai keep fueling need endless war,negative
robot take job,neutral
id love watch self driving truck back foot trailer dock designed trailer make first try impressed liesit tricky overhang behind wheel,positive
taking sale job haha,positive
goodbye junk food hello healthy home cooked meal lol stop company eating anymore,positive
yes advocating ubi good society current rash political social instability going ramp fold,positive
democrat think theyll get free government money live never work anything,positive
job replaced ai none government doesnt need cash,neutral
beginning ai take change nearly every aspect life good bad,negative
ai worst abomination known human race ultimately breakdown society,negative
think good,positive
good people nowadays dont wan na work anymore rather start podcast talk sht others instead getting jobyou know influencers,positive
say thing auto industry,neutral
god bless capitalism,positive
people keep complying work apps downloading ive saying two year im bit regret nearly arse,negative
long ai doesnt take pyramid scheme job guy set,neutral
cool im nigeria behind whole world ai gon na take maybe next year,positive
evil elon musk behind robot end human,negative
staying ahead curve,neutral
imagine karen bruce taking ai would something see takeout anyone,neutral
cant take job sorry need human interaction work,positive
come riot,negative
job done desk including fellow making video replaced ai head hardware next three five year,neutral
take let ai replace homeless people politician,neutral
theyre homeless politician,neutral
everyone wouldnt separate racist act world would gotten straight u rich people going poor racism still exists,positive
diverse top also talked job,positive
say take job cant afford buy crap get new ill never encourage everyone else,negative
already crap walmart grocery store selfcheckout machine awful end may even cause riot street need stop right,negative
great america another solution hardship,positive
ai cant fix house paint assemble garden,neutral
lol,positive
hispanic people well isnt impressive skill called adult man,negative
liamvbxowhy funny bad,negative
chat gpt give detailed instruction even feed image problem area analyze humanoid robot utilizing chatgpt brain answer become cheaper human labor,negative
theintrovertedaspie blame woman ai progress cause suck want best men got ta build since dont anymore,positive
yeah everyone without job flood market making cent hour due supply,positive
ai replace,neutral
baphmet youtube username icon profile picture dreadful,negative
ai scam like tech turn market suffers big swing people cheaper,negative
robot tell welder put helmet protective glass im worried however camera replacing one safety watch behind screen location work done instead watch dangerous job,negative
robot mechanic,neutral
bsai lost cause extremely limited cross us answer find solution done,negative
would great machine could replace people really machine like job cashier supermarket also leave u time hand going another way make money still working crazy hour make sense,positive
thats heartless way living constantly thinking leverage god created society wonder depression rise many miserable people everywhere around useful absolutely horrible marriage rating usefulness doomed dont want husband stupid leverage simple hate modern,negative
people complaining fast food worker deserve low wage wait get tased trying argue robot,negative
think ai singularity offs realizes stupid human actually,negative
one hyped,neutral
job im neet,neutral
thought made u work struggle pay tax keep busy whats happens everyone whoa unemployed riot obese slob like kid film walle,negative
best way genocide population least robot detect worm,positive
let get right ai take job people dont money spend company go business society ruined,negative
plumber get trade sortstheir safe,positive
yeah please mr robot come take job remove used quarter panel cut car weld onto different make sure build bumper also trash im waiting,positive
hey pat like video mentioned leadership nowadays people skill almost fairytale think could potential leader group leader factory noticed shift starting kid essentially staying long company develop come go someone typically highest bidder thought,positive
thats fine robot store want shop walk fuck support ai cop shit wont need anything system anymore,negative
thank american people easily manipulated raise child,positive
work bodyshop company supply polishing equipment made prototype quicker accurate work overtime free never moan,positive
king bong,neutral
list incredibly vague theyre character trait skill soul skill,negative
tell grocery store worker job highly threatened replacing ai already got cashier robot automate entire web security cloud computing sec comptia type job secure life disagree teacher one yes get school online hand never truly replace especially since want actual skilled degree spammer brick mortar experience definitely stay unless something like coding artist ever able let programmed use common used choice sound good look predictable creativity extremely hard program unique draw owen reservoir lol programming amazing creative work creativewise limited technical people realize would artist uniqueness credit,positive
glad became electrician please looking fool proof career look trade dont need like maybe plumber welder pipe fitter hvac tech right thing man power much work enough u go around,positive
one size fit thing even job physically mentally cut people better working boring repetitive adhd autism struggling employment right know mean,negative
theintrovertedaspie absolutely right hindsight def say ppl shouldnt joined professional trade working witnessing procrastination cutting corner etc ive wired enough office fitups see misery come cubicle imo course whats great another well said man cheer,positive
bito thanks cheer,positive
ask pay machine wage youll answer,negative
basically mean genious going loose everything ai,negative
owner robot company diverse purchase robot black would please diversity department,positive
long drive car manually ill job,negative
good complaining people work bragging ai taking job million immigrant move,positive
make illegal grow food collect water doesnt matter job left taking right live well period people could see truly lost trying get back rather holding false hope leave u alone point never stop sign autonomy enslave,negative
awesome one thing ai wont replacing trade car mechanic aircraft technician electrician plumber worker work hand still upper middle class college educated woke loser welfare,positive
yes took million new job make robot happened people dont want work minimum wage expect get hour newsflash start low way mcdonalds career cant support family working dimwitts,negative
isnt indian asian wellwhy different category,neutral
panic getting annoying law already passed phone customer service illegal ai cant prevent stealing store nothing came forward didnt follow like im sure car first invented square one beginning took time light speed limit similar situation,negative
group negatively affected ai indian,negative
think effect low job white collar list well boss hr ceo gone,neutral
who going buy thing robot working,neutral
think job pipe fitter safe,positive
sale always king,neutral
sell anything people cant buy job taken ai,neutral
xmasparol stupid people always replaceable dont useless idiot probably wont replaced,positive
already last year,neutral
gig work building high income dividend portfolio ill move place cheaper live easy favorite pick spyi,positive
robotic engineering mechanic enrolling spring,neutral
happens massive emp strike turn technology st world country,negative
first take job theyll woman,neutral
every job world would replaced ai cant rotate money purchase product generated practically possible even though everything automated instead use discover explore external universe travel speed light benefit human race rather using halt antiproductive,positive
job thing past already get career trade,neutral
use ai teach concept cant afford pay someone learn subject get discount,positive
thats b ye naaaah,neutral
ai replace job,neutral
wait day,neutral
si future rich people robot rest u dying hunger hey would geust robot right,positive
took joooub,neutral
universal credit coming world government see,positive
hope chip need fron nvdia operate make millionaire,positive
mexican taking job robot,neutral
thought ai assist life,neutral
ai still cant get self checkout right well alright,positive
good im gladnow maybe get burger buck,positive
remember ai job new world order driving ever closer depopulation nice knowing yall,positive
nursing,neutral
job money buy spend lol,positive
rome two point like salve job free man fallen society,positive
people pessimistic ai useful unveil solution create new technology helped global warming maybe help make use nuclear energy possible infinite human being much time live earth due climate robot would replacement longer,positive
lawyer judge wont affected wrong job easily automated,positive
south park episode bang,neutral
took job,neutral
ai take job one left work jobless who going spend money use subscription service,neutral
know fully well job taken away ai load limitation even feasible subject matter expert navigate needed remember intelligent,positive
unionize wont happen,neutral
look asda supermarket mostly scan go ai piss everytime shopping england people still think replacing human child remember isle cashier serve future looking real dim run sychopaths stop weak,negative
ai hype grift going strong,positive
black man ged least affected,positive
ai synonymous robot totally different robotics,neutral
progress year researcher ai save trillion hour year especially comprrsses,positive
ai take job life legacy,neutral
sad,negative
someone fix shit go wrong ai bring people face,negative
prefer ai learn foreign language try pi awesome,positive
self driving car replace driver oh okay report said,positive
walmart dollar general get rid employee go stuff pay self checkout needed,negative
thats million position find competent staff failed bring ai,negative
teacher already replaced youtubers dont tell ai replace,neutral
think something bigger happens planet ai robot may replace u repositioned somewhere else universe,neutral
course think endless war nonstop pandemic climate change globalists want lower overall temperature around world limiting food supply minimizing farm eliminate surplus population soylent green future people survivefeeling lucky,negative
see future made china robot,neutral
let say ai take job,neutral
person safe,positive
swallow,neutral
come dept defense isnt affected ai everyone else,positive
gon na happen wef going,neutral
value,positive
ai patrick bet david looking profitability every week mentoring become better handyman business ive also automated everything using except estimate inperson work,positive
say time bring back rage machine,negative
thirty year ago asked question business round table meetinghow economy function without wage earning workforce robot ai dont earn wage buy good service contribute k fuel significant amount investment industry home rent apartment car truck medical need insurance education pay tax since theyre earner replace tax paying worker money come business forced share income profit populace marketplace buying power lessened generated lot think natural unnatural,positive
wont,neutral
listen power saying want dumb u preoccupy drug entertainment slowly kill large swath population using mankind collective intelligence energy build ai automation system live plan future involving replaced,negative
comment need boost bring valid concerning point,positive
excellent question,positive
think opinion world come extent mean surrender freedom allegiance power seated time otherwise function society dead sooner later antichrist system written bible rise use economy gain adornment praise,positive
greatest elephant room constantly fucking bombarded problem like overpopulation climate change etc clearly important matter hand blow proportion got thinking people charge real ruler dont interest mind,positive
business stay open without customer people talking ubi etc forget give away privacy motivation pride importantly freedom dont stuff buy money think going happen take workforce,positive
always asking question maybe utopia dream first time human dont need economize resource much earth solution health hunger problem learn trust try understanding,positive
define relative worth ai effort tax business based use ai labor distribute ubi maintain consumer culturemuch pay electricity water service us would also pay actually workhonestly know system messy unpredictable scale several potential solution type scenario like one described,positive
really free though eitheryour yoked job likely pay le deserve task dont want dojust avoid living bridge eating trash can freedom right stop exactly point bank account reach zerothe people fulfilling rush morning give life meaning wayway smaller thinkatomickpixel,positive
need new world order,neutral
dont worry government always find way tax,positive
robot make anything wont need anyone buy ensure rich survive sue every company base morality genocide ubi biggest trap like welfare whatever call day enough eat phone car home land landhome asset havez,positive
payroll commonly expense overall company replace human ai robot efficient profitable without pay half ubi tax sign,positive
mean consumer could stock owner mega cooperation trading good service naive believe owning class needed future,positive
wanted eliminate human bulk dont want ur money tax,negative
given world society organized today post ai economy would simple without wage population starve death believe nobody care lucky people end zoo slave wealthy elite going provide free lunch anyone bar extremely high survive human arent make,positive
yes need repair aka health care constant education taxed lot thing think unique human being common robot well wont long start talking right entertainment feeling marriage kidding,positive
well could asked question horse car agriculture yr ago half population employed always new job pop,positive
youre thinking extreme ai replace every job company invest automate process physical workforce take real cash lot business able many job changed replaced industrial revolution kicked weve people going adapt,neutral
simple solution dont bank create money give u leaving homeless learn steal kill food shelter rich always win,neutral
like question ask trump supporter free market economy function dictator,positive
boristheamerican stay topic youre going interject one talking trump biden demsrepublicans,neutral
valid point brings u obvious say many people become un utilized would still needed,neutral
new way income distribution need designed eg sport one,neutral
daksh_maths_cricketer workerless economy money making sport basic income allow discretionary spending luxury spent food housing transportation necessity nothing left redistribute,positive
people adapt like always life go,positive
new economy structure needed capitalism communism socialism wont work postlabour stage,neutral
tough competition among ai robot company price war product service provided market shrink substantially unemployment behigh job available agriculture dairy poultry,negative
social medium age human started living isolation going rise exponentially advancement ai robotics concept marriage reproducing responsibility fading away new generation ultimately dont need ww make extinct already digging grave becoming slave material desire luxury etc automation supposed buy u time spent family instead made impatient today hardly job client patient constant pressure perform really messed physically mentally weak irritating love take care,negative
thank asking thought provoking question wonder leader asked,positive
pretty gullible line question considering public available literature world headed heading decade slave society depopulation smart island elite armageddon mass sound know,positive
bold assume economy natural,positive
good observation wan na see,positive
brilliant thanks making think,positive
fanlife correct wont,neutral
trigger put one supplier hellbent replace workforce automation worker youre replacing wont able buy product result need many material shocked nothing happens vacuum consequence unintended natural economy function unnatural doesnt without unnaturalartificial intervention,positive
